2016/03/15,
Frequency [Hz],Gain [dB]
100000000,25.69736099
107777777.8,25.69734573
115555555.6,25.70538902
123333333.3,25.7663517
131111111.1,25.76477623
138888888.9,25.65074921
146666666.7,25.5036602
154444444.4,25.4672451
162222222.2,25.54172325
170000000,25.62609482
177777777.8,25.65929604
185555555.6,25.5631752
193333333.3,25.40965271
201111111.1,25.32274246
208888888.9,25.40524864
216666666.7,25.45314789
224444444.4,25.47624969
232222222.2,25.452528
240000000,25.32647133
247777777.8,25.26752663
255555555.6,25.3226757
263333333.3,25.36234665
271111111.1,25.39274597
278888888.9,25.35707855
286666666.7,25.28933525
294444444.4,25.24328995
302222222.2,25.27744675
310000000,25.31812668
317777777.8,25.31234932
325555555.6,25.27358246
333333333.3,25.18049049
341111111.1,25.09562683
348888888.9,25.11824799
356666666.7,25.12477875
364444444.4,25.13710976
372222222.2,25.1571579
380000000,25.09977913
387777777.8,25.00748825
395555555.6,24.91550064
403333333.3,24.83054543
411111111.1,24.854702
418888888.9,24.89933586
426666666.7,24.88040352
434444444.4,24.84634399
442222222.2,24.76448822
450000000,24.66548729
457777777.8,24.63700294
465555555.6,24.63500404
473333333.3,24.61411476
481111111.1,24.63711739
488888888.9,24.57747269
496666666.7,24.52371025
504444444.4,24.45235825
512222222.2,24.45672226
520000000,24.45423508
527777777.8,24.43747711
535555555.6,24.41785622
543333333.3,24.33685112
551111111.1,24.35305595
558888888.9,24.41022873
566666666.7,24.45014954
574444444.4,24.46486282
582222222.2,24.35281754
590000000,24.27274704
597777777.8,24.3026619
605555555.6,24.32571411
613333333.3,24.49281311
621111111.1,24.53627586
628888888.9,24.47707939
636666666.7,24.32135201
644444444.4,24.16270065
652222222.2,24.16654587
660000000,24.24967766
667777777.8,24.39121819
675555555.6,24.36131287
683333333.3,24.25263214
691111111.1,24.02037621
698888888.9,23.83050346
706666666.7,23.88161278
714444444.4,23.99276161
722222222.2,24.05420113
730000000,24.01268387
737777777.8,23.80405617
745555555.6,23.62684059
753333333.3,23.6421833
761111111.1,23.69669914
768888888.9,23.83882332
776666666.7,23.82949066
784444444.4,23.75169182
792222222.2,23.64488792
800000000,23.6100235
807777777.8,23.70941353
815555555.6,23.8846302
823333333.3,23.92102623
831111111.1,23.8613987
838888888.9,23.7765255
846666666.7,23.73800468
854444444.4,23.77980423
862222222.2,24.03455925
870000000,24.0821228
877777777.8,24.02027321
885555555.6,23.82746124
893333333.3,23.64937401
901111111.1,23.59752274
908888888.9,23.87716293
916666666.7,23.94987106
924444444.4,24.05199051
932222222.2,23.78439903
940000000,23.52330589
947777777.8,23.35731697
955555555.6,23.36324883
963333333.3,23.51892471
971111111.1,23.67576981
978888888.9,23.58676147
986666666.7,23.35432816
994444444.4,23.19989586
1002222222,23.18611717
1010000000,23.35012627
1017777778,23.46955299
1025555556,23.50866127
1033333333,23.44632912
1041111111,23.41052818
